name,parent,clusterid,label,compute_pos,svg_pos,model_level,percentage,mi,children
Z446,Z517,5,"diverse,conducted,findings,studies,collected,validate,confirmed","4928.82361111,-1269.43708333","4880.9,-1362.1",4,0.27,"Z517,0.48724154459965063","Z1868,Z1869,Z1866,Z1867,Z1864,Z1865,Z1862,Z1863,Z1860,Z1861,Z2319,Z2318,Z2311,Z2310,Z2313,Z2312,Z2315,Z2314,Z2317,Z2316,Z1859,Z1858,Z1853,Z1852,Z1851,Z1850,Z1857,Z1856,Z1855,Z1854,Z1849,Z2320,Z2321,Z2322,Z2323,Z2324,Z2325,Z2326,Z3125,Z3124,Z3126,Z3121,Z3123,Z3122,Z1896,Z1897,Z1895,Z1894,Z1893,Z1892,Z1891,Z1890,Z1880,Z1881,Z1882,Z1883,Z1884,Z1885,Z1886,Z1887,Z1888,Z1889,Z1879,Z1878,Z1875,Z1874,Z1877,Z1876,Z1871,Z1870,Z1873,Z1872"
Z447,Z518,5,"selects,items,selection,attributes,select,selecting,attribute","3873.76326531,-493.583673469","3784.5,-447.72",4,0.32,"Z518,0.5602958151481957","Z2337,Z2336,Z2335,Z2334,Z2333,Z2332,Z2331,Z2330,Z2339,Z2338,Z2327,Z2328,Z2329,Z1901,Z1900,Z1903,Z1902,Z1905,Z1904,Z1907,Z1906,Z1909,Z1908,Z1912,Z1913,Z1910,Z1911,Z1916,Z1917,Z1914,Z1915,Z1918,Z1919,Z1927,Z1926,Z1925,Z1924,Z1923,Z1922,Z1921,Z1920,Z3127,Z3129,Z3128,Z3132,Z3130,Z3131,Z1899,Z1898"
Z444,Z516,6,"supporting,thinking,making,presentation,usability,things,easier","2990.39791667,-1759.80625","3057.5,-1767.2",4,0.28,"Z516,0.4371688898200896","Z2302,Z2303,Z2300,Z2301,Z2304,Z2305,Z1840,Z1814,Z1813,Z1811,Z1810,Z1831,Z1830,Z1833,Z1832,Z1835,Z1834,Z1839,Z1838,Z1822,Z1823,Z1820,Z1821,Z1826,Z1824,Z1825,Z1828,Z1829,Z1837,Z1836,Z1819,Z1818,Z1817,Z1816,Z1815,Z1812,Z3117,Z1808,Z1809,Z1803,Z1801,Z1802,Z1804,Z1805,Z1806,Z1807,Z1827,Z3118"
Z197,Z239,4,"delete,deleted","4531.1,-2107.4","4531.1,-2107.4",1,0.06,"Z239,0.009424716196980036",
Z1583,Z2212,7,"lattice,lattices,fcc,bcc,separable","938.93,-856.46","938.93,-856.46",1,0.16,"Z2212,0.20976711745609192",
Z11070,Z2384,5,"perfect,perfectly,solely,clusterings,thomas,reviewed,comprises","4805.6,-582.03","4805.6,-582.03",1,0.40,"Z2384,0.3292906006666053",
Z2218,Z381,7,"buffer,hardware,buffers,bricks,brick","1220.4,-1783.6","1150.5,-1768.3",2,0.19,"Z381,0.4712109459115086","Z1596,Z1595"
Z2219,Z382,7,"processor,parallel,processors,parallelism","313.635,-1842.2","337.73,-1873.8",2,0.23,"Z382,0.21733167310875898","Z1597,Z1598"
Z2214,Z379,7,"threshold,extracted,extraction,extract,extracting,thresholds,thresholding","701.8,-842.52","701.99,-842.05",2,0.29,"Z379,0.2135584639604431","Z1587,Z1588"
Z2215,Z380,7,"front,depth,back,depths","854.91,-2160.35","804.07,-2194",2,0.24,"Z380,0.34286679608491977","Z1589,Z1590"
